,Symbol,Name
0,TCS.NS,Tata Consultancy Services Limited
1,TCS.BO,Tata Consultancy Services Limited
2,RELIANCE.BO,Reliance Industries Limited
3,RELIANCE.NS,Reliance Industries Limited
4,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
5,HDFCBANK.BO,HDFC Bank Limited
6,HDFCBANK.NS,HDFC Bank Limited
7,HINDUNILVR.NS,Hindustan Unilever Limited
8,HINDUNILVR.BO,Hindustan Unilever Limited
9,ITC.NS,ITC Limited
10,ITC.BO,ITC Limited
11,HDFC.NS,Housing Development Finance Corporation Limited
12,HDFC.BO,Housing Development Finance Corporation Limited
13,0700.HK,Tencent Holdings Limited
14,INFY.BO,Infosys Limited
15,INFY.NS,Infosys Limited
16,SBIN.NS,State Bank of India
17,SBIN.BO,State Bank of India
18,KOTAKBANK.NS,Kotak Mahindra Bank Limited
19,KOTAKBANK.BO,Kotak Mahindra Bank Limited
20,ICICIBANK.BO,ICICI Bank Limited
21,ICICIBANK.NS,ICICI Bank Limited
22,MARUTI.BO,Maruti Suzuki India Limited
23,MARUTI.NS,Maruti Suzuki India Limited
24,LT.NS,Larsen & Toubro Limited
25,LT.BO,Larsen & Toubro Limited
26,ONGC.NS,Oil and Natural Gas Corporation Limited
27,ONGC.BO,Oil and Natural Gas Corporation Limited
28,1398.HK,Industrial and Commercial Bank of China Limited
29,0939.HK,China Construction Bank Corporation
30,STAN.BO,Standard Chartered PLC
31,AXISBANK.NS,Axis Bank Limited
32,AXISBANK.BO,Axis Bank Limited
33,601939.SS,China Construction Bank Corporation
34,COALINDIA.NS,Coal India Limited
35,601398.SS,Industrial and Commercial Bank of China Limited
36,COALINDIA.BO,Coal India Limited
37,0941.HK,China Mobile Limited
38,BAJFINANCE.NS,Bajaj Finance Limited
39,BAJFINANCE.BO,Bajaj Finance Limited
40,WIPRO.NS,Wipro Limited
41,WIPRO.BO,Wipro Limited
42,0857.HK,PetroChina Company Limited
43,HCLTECH.NS,HCL Technologies Limited
44,HCLTECH.BO,HCL Technologies Limited
45,ASIANPAINT.NS,Asian Paints Limited
46,ASIANPAINT.BO,Asian Paints Limited
47,PTT.BK,PTT Public Company Limited
48,PTT-R.BK,PTT Public Company Limited
49,0005.HK,HSBC Holdings plc
50,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
51,601857.SS,PetroChina Company Limited
52,IOC.BO,Indian Oil Corporation Limited
53,IOC.NS,Indian Oil Corporation Limited
54,BHARTIARTL.BO,Bharti Airtel Limited
55,BHARTIARTL.NS,Bharti Airtel Limited
56,1288.HK,Agricultural Bank of China Limited
57,NTPC.NS,NTPC Limited
58,NTPC.BO,NTPC Limited
59,3988.HK,Bank of China Limited
60,HINDZINC.NS,Hindustan Zinc Limited
61,HINDZINC.BO,Hindustan Zinc Limited
62,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
63,601288.SS,Agricultural Bank of China Limited
64,ULTRACEMCO.NS,UltraTech Cement Limited
65,ULTRACEMCO.BO,UltraTech Cement Limited
66,NESTLEIND.BO,Nestlé India Limited
67,NESTLEIND.NS,Nestlé India Limited
68,601988.SS,Bank of China Limited
69,6505.TW,Formosa Petrochemical Corporation
70,POWERGRID.NS,Power Grid Corporation of India Limited
71,POWERGRID.BO,Power Grid Corporation of India Limited
72,BAJAJFINSV.NS,Bajaj Finserv Limited
73,BAJAJFINSV.BO,Bajaj Finserv Limited
74,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
75,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
76,2317.TW,"Hon Hai Precision Industry Co., Ltd."
77,DMART.BO,Avenue Supermarts Limited
78,DMART.NS,Avenue Supermarts Limited
79,INDUSINDBK.BO,IndusInd Bank Limited
80,INDUSINDBK.NS,IndusInd Bank Limited
81,AOT-R.BK,Airports of Thailand Public Company Limited
82,AOT.BK,Airports of Thailand Public Company Limited
83,M&M.NS,Mahindra & Mahindra Limited
84,M&M.BO,Mahindra & Mahindra Limited
85,GODREJCP.NS,Godrej Consumer Products Limited
86,GODREJCP.BO,Godrej Consumer Products Limited
87,2412.TW,"Chunghwa Telecom Co., Ltd."
88,GAIL.NS,GAIL (India) Limited
89,GAIL.BO,GAIL (India) Limited
90,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
91,ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
92,BAJAJ-AUTO.BO,Bajaj Auto Limited
93,BAJAJ-AUTO.NS,Bajaj Auto Limited
94,BPCL.BO,Bharat Petroleum Corporation Limited
95,BPCL.NS,Bharat Petroleum Corporation Limited
96,TITAN.BO,Titan Company Limited
97,HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited
98,TITAN.NS,Titan Company Limited
99,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
100,TCS.NS,Tata Consultancy Services Limited
101,TCS.BO,Tata Consultancy Services Limited
102,RELIANCE.BO,Reliance Industries Limited
103,RELIANCE.NS,Reliance Industries Limited
104,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
105,HDFCBANK.BO,HDFC Bank Limited
106,HDFCBANK.NS,HDFC Bank Limited
107,HINDUNILVR.NS,Hindustan Unilever Limited
108,HINDUNILVR.BO,Hindustan Unilever Limited
109,ITC.NS,ITC Limited
110,ITC.BO,ITC Limited
111,HDFC.NS,Housing Development Finance Corporation Limited
112,HDFC.BO,Housing Development Finance Corporation Limited
113,0700.HK,Tencent Holdings Limited
114,INFY.BO,Infosys Limited
115,INFY.NS,Infosys Limited
116,SBIN.NS,State Bank of India
117,SBIN.BO,State Bank of India
118,KOTAKBANK.NS,Kotak Mahindra Bank Limited
119,KOTAKBANK.BO,Kotak Mahindra Bank Limited
120,ICICIBANK.BO,ICICI Bank Limited
121,ICICIBANK.NS,ICICI Bank Limited
122,MARUTI.BO,Maruti Suzuki India Limited
123,MARUTI.NS,Maruti Suzuki India Limited
124,LT.NS,Larsen & Toubro Limited
125,LT.BO,Larsen & Toubro Limited
126,ONGC.NS,Oil and Natural Gas Corporation Limited
127,ONGC.BO,Oil and Natural Gas Corporation Limited
128,1398.HK,Industrial and Commercial Bank of China Limited
129,0939.HK,China Construction Bank Corporation
130,STAN.BO,Standard Chartered PLC
131,AXISBANK.NS,Axis Bank Limited
132,AXISBANK.BO,Axis Bank Limited
133,601939.SS,China Construction Bank Corporation
134,COALINDIA.NS,Coal India Limited
135,601398.SS,Industrial and Commercial Bank of China Limited
136,COALINDIA.BO,Coal India Limited
137,0941.HK,China Mobile Limited
138,BAJFINANCE.NS,Bajaj Finance Limited
139,BAJFINANCE.BO,Bajaj Finance Limited
140,WIPRO.NS,Wipro Limited
141,WIPRO.BO,Wipro Limited
142,0857.HK,PetroChina Company Limited
143,HCLTECH.NS,HCL Technologies Limited
144,HCLTECH.BO,HCL Technologies Limited
145,ASIANPAINT.NS,Asian Paints Limited
146,ASIANPAINT.BO,Asian Paints Limited
147,PTT.BK,PTT Public Company Limited
148,PTT-R.BK,PTT Public Company Limited
149,0005.HK,HSBC Holdings plc
150,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
151,601857.SS,PetroChina Company Limited
152,IOC.BO,Indian Oil Corporation Limited
153,IOC.NS,Indian Oil Corporation Limited
154,BHARTIARTL.BO,Bharti Airtel Limited
155,BHARTIARTL.NS,Bharti Airtel Limited
156,1288.HK,Agricultural Bank of China Limited
157,NTPC.NS,NTPC Limited
158,NTPC.BO,NTPC Limited
159,3988.HK,Bank of China Limited
160,HINDZINC.NS,Hindustan Zinc Limited
161,HINDZINC.BO,Hindustan Zinc Limited
162,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
163,601288.SS,Agricultural Bank of China Limited
164,ULTRACEMCO.NS,UltraTech Cement Limited
165,ULTRACEMCO.BO,UltraTech Cement Limited
166,NESTLEIND.BO,Nestlé India Limited
167,NESTLEIND.NS,Nestlé India Limited
168,601988.SS,Bank of China Limited
169,6505.TW,Formosa Petrochemical Corporation
170,POWERGRID.NS,Power Grid Corporation of India Limited
171,POWERGRID.BO,Power Grid Corporation of India Limited
172,BAJAJFINSV.NS,Bajaj Finserv Limited
173,BAJAJFINSV.BO,Bajaj Finserv Limited
174,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
175,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
176,2317.TW,"Hon Hai Precision Industry Co., Ltd."
