Symbol,Name
0,MSFT.BA,Microsoft Corporation
1,AAPL.BA,Apple Inc.
2,GOOGL.BA,Alphabet Inc.
3,RDSB.L,Royal Dutch Shell plc
4,RDSA.L,Royal Dutch Shell plc
5,TYT.L,Toyota Motor Corporation
6,HSBA.L,HSBC Holdings plc
7,XOM.BA,Exxon Mobil Corporation
8,ULVR.L,Unilever PLC
9,BP-A.L,BP p.l.c.
10,BP-B.L,BP p.l.c.
11,BP.L,BP p.l.c.
12,VZ.BA,Verizon Communications Inc.
13,BHP.L,BHP Group Plc
14,INTC.BA,Intel Corporation
15,CVX.BA,Chevron Corporation
16,KO.BA,The Coca-Cola Company
17,MRK.BA,"Merck & Co., Inc."
18,AZN.L,AstraZeneca PLC
19,GSK.L,GlaxoSmithKline plc
20,DGE.L,Diageo plc
21,DISN.BA,The Walt Disney Company
22,RIO.L,Rio Tinto plc
23,BATS.L,British American Tobacco p.l.c.
24,BNC.L,"Banco Santander, S.A."
25,MCD.BA,McDonald's Corporation
26,C.BA,Citigroup Inc.
27,RB.L,Reckitt Benckiser Group plc
28,GACA.L,General Accident plc 8 7/8% CUM IRRD PRF GBP1
29,VOD.L,Vodafone Group Plc
30,SHP.L,Shire plc
31,GLEN.L,Glencore Plc
32,GACB.L,General Accident plc 7 7/8% CUM IRRD PRF GBP1
33,PRU.L,Prudential plc
34,LLOY.L,Lloyds Banking Group plc
35,AXP.BA,American Express Company
36,REL.L,RELX PLC
37,LMT.BA,Lockheed Martin Corporation
38,APBR.BA,Petróleo Brasileiro S.A. - Petrobras
39,CRGR.MI,Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia
40,0Z4S.L,Tencent Holdings Limited
41,STD.BA,"Banco Santander, S.A."
42,CCL.L,Carnival plc
43,NG.L,National Grid plc
44,MEL.L,Mitsubishi Electric Corporation
45,VALE.BA,Vale S.A.
46,CPG.L,Compass Group PLC
47,QCOM.BA,QUALCOMM Incorporated
48,1S4.SG,Steris Plc
49,BARC.L,Barclays PLC
50,RBS.L,The Royal Bank of Scotland Group plc
51,BT-A.L,BT Group plc
52,GE.BA,General Electric Company
53,IMB.L,Imperial Brands PLC
54,AAL.L,Anglo American plc
55,STAN.L,Standard Chartered PLC
56,TSCO.L,Tesco PLC
57,WPY.L,"Worldpay, Inc."
58,0Q0C.L,Toshiba Corporation
59,EXPN.L,Experian plc
60,ABF.L,Associated British Foods plc
