,Symbol,Name
0,7203.T,Toyota Motor Corporation
1,9437.T,"NTT DOCOMO, INC."
2,9432.T,Nippon Telegraph and Telephone Corporation
3,9984.T,SoftBank Group Corp.
4,8306.T,"Mitsubishi UFJ Financial Group, Inc."
5,6758.T,Sony Corporation
6,6861.T,Keyence Corporation
7,9433.T,KDDI Corporation
8,9434.T,SoftBank Corp.
9,9983.T,"Fast Retailing Co., Ltd."
10,6178.T,"Japan Post Holdings Co., Ltd."
11,7267.T,"Honda Motor Co., Ltd."
12,8316.T,"Sumitomo Mitsui Financial Group, Inc."
13,8058.T,Mitsubishi Corporation
14,2914.T,Japan Tobacco Inc.
15,9022.T,Central Japan Railway Company
16,7182.T,"JAPAN POST BANK Co.,Ltd."
17,6098.T,"Recruit Holdings Co., Ltd."
18,8411.T,"Mizuho Financial Group, Inc."
19,3382.T,"Seven & i Holdings Co., Ltd."
20,4452.T,Kao Corporation
21,8686.T,Aflac Incorporated
22,6902.T,DENSO Corporation
23,8766.T,"Tokio Marine Holdings, Inc."
24,9020.T,East Japan Railway Company
25,6594.T,Nidec Corporation
26,4063.T,"Shin-Etsu Chemical Co., Ltd."
27,4661.T,"Oriental Land Co., Ltd."
28,7974.T,"Nintendo Co., Ltd."
29,4519.T,"Chugai Pharmaceutical Co., Ltd."
30,7201.T,"Nissan Motor Co., Ltd."
31,6367.T,"Daikin Industries,Ltd."
32,7751.T,Canon Inc.
33,6954.T,Fanuc Corporation
34,6981.T,"Murata Manufacturing Co., Ltd."
35,5108.T,Bridgestone Corporation
36,8031.T,"Mitsui & Co., Ltd."
37,4502.T,Takeda Pharmaceutical Company Limited
38,8001.T,ITOCHU Corporation
39,6501.T,"Hitachi, Ltd."
40,4911.T,"Shiseido Company, Limited"
41,4503.T,Astellas Pharma Inc.
42,6503.T,Mitsubishi Electric Corporation
43,7269.T,Suzuki Motor Corporation
44,7741.T,HOYA Corporation
45,4523.T,"Eisai Co., Ltd."
46,4578.T,"Otsuka Holdings Co., Ltd."
47,8801.T,"Mitsui Fudosan Co., Ltd."
48,8802.T,"Mitsubishi Estate Co., Ltd."
49,1925.T,"Daiwa House Industry Co.,Ltd."
50,6752.T,Panasonic Corporation
51,4543.T,Terumo Corporation
52,4568.T,"Daiichi Sankyo Company, Limited"
53,6273.T,SMC Corporation
54,6301.T,Komatsu Ltd.
55,8113.T,Unicharm Corporation
56,8591.T,ORIX Corporation
57,8035.T,Tokyo Electron Limited
58,2503.T,"Kirin Holdings Company, Limited"
59,6971.T,Kyocera Corporation
60,9735.T,"SECOM CO., LTD."
61,8750.T,"Dai-ichi Life Holdings, Inc."
62,2502.T,"Asahi Group Holdings, Ltd."
63,5020.T,"JXTG Holdings, Inc."
64,8053.T,Sumitomo Corporation
65,4507.T,"Shionogi & Co., Ltd."
66,6326.T,Kubota Corporation
67,8830.T,"Sumitomo Realty & Development Co., Ltd."
68,8725.T,"MS&AD Insurance Group Holdings, Inc."
69,6502.T,Toshiba Corporation
70,7270.T,Subaru Corporation
71,8267.T,"Aeon Co., Ltd."
72,4901.T,FUJIFILM Holdings Corporation
73,8028.T,"FamilyMart UNY Holdings Co., Ltd."
74,9613.T,NTT DATA Corporation
75,5401.T,Nippon Steel & Sumitomo Metal Corporation
76,8421.T,Shinkin Central Bank
77,6201.T,Toyota Industries Corporation
